-1.4052	6.8284
-1.406	6.8228
-1.4072	6.8152
-1.4056	6.8312
-1.4096	6.8332
-1.4068	6.8272
-1.4068	6.8332
-1.4084	6.8376
-1.4096	6.8268
-1.4092	6.8228
-1.4092	6.828
-1.4068	6.8192
-1.4072	6.816
-1.4096	6.83
-1.4072	6.8312
-1.4072	6.8272
-1.4084	6.8328
-1.4064	6.8388
-1.4064	6.8276
-1.406	6.824
-1.4052	6.828
-1.4068	6.8216
-1.406	6.8176
-1.4056	6.8312
-1.4072	6.834
-1.408	6.8312
-1.41	6.8372
-1.4092	6.8416
-1.408	6.8284
-1.4084	6.828
-1.4072	6.8312
-1.4068	6.8244
-1.4084	6.8216
-1.4076	6.8328
-1.4056	6.8384
-1.4088	6.8316
-1.4068	6.8376
-1.4068	6.8432
-1.4052	6.8304
-1.406	6.828
-1.4064	6.8324
-1.4056	6.8256
-1.4056	6.8224
-1.406	6.8348
-1.4076	6.8356
-1.4072	6.8292
-1.4092	6.8364
-1.41	6.8416
-1.4072	6.8292
-1.4084	6.8288
-1.4096	6.8308
-1.4068	6.8236
-1.4084	6.8196
-1.4072	6.8352
-1.4068	6.8372
-1.4076	6.83
-1.4064	6.8388
-1.4072	6.8388
-1.4044	6.8252
-1.406	6.8236
-1.4064	6.8292
-1.4068	6.8224
-1.4056	6.816
-1.4072	6.8308
-1.41	6.8316
-1.408	6.8264
-1.4096	6.8312
-1.41	6.8384
-1.4092	6.8264
-1.4088	6.822
-1.4088	6.8272
-1.4088	6.822
-1.408	6.8168
-1.4056	6.8304
-1.4076	6.834
-1.4064	6.8264
-1.4052	6.8332
-1.4064	6.8376
-1.4052	6.8256
-1.4072	6.8244
-1.4076	6.8284
-1.4072	6.8188
-1.4064	6.8192
-1.4088	6.8288
-1.4092	6.8332
-1.4064	6.8272
-1.4088	6.8316
-1.41	6.8392
-1.408	6.8272
-1.4096	6.8236
-1.4092	6.8288
-1.4076	6.822
-1.4064	6.816
-1.406	6.8308
-1.4072	6.8356
